4.1085,8.9884,
4.1342,9.2209,
4.1567,9.2307,
4.0813,9.2904,
4.0759,9.3633,
4.0894,9.3183,
4.0105,9.2079,
5.5816,9.0448,
4.0651,9.034,
5.4636,9.3091,
4.6429,9.4927,
4.4588,8.8989,
4.3999,9.4455,
5.6353,10.0371,
4.465,9.257,
5.432,9.3817,
5.6682,9.9049,
4.3063,8.9206,
5.4799,9.3624,
5.7149,9.6424,
4.1871,9.2632,
4.9647,9.4616,
4.2731,9.302,
4.8574,9.727,
5.7193,9.5498,
5.77,9.4052,
5.4118,9.8495,
5.6676,9.9167,
5.4885,9.8557,
4.2086,8.9888,
4.928,8.8446,
4.5056,9.0243,
5.6837,9.0274,
5.9956,9.187,
5.6298,9.2346,
4.5591,8.5602,
4.4976,9.2614,
4.6364,9.4535,
4.6953,9.2095,
4.9895,9.7042,
4.7324,8.9389,
5.7528,9.3152,
4.112,9.424,
5.6089,9.5257,
5.0036,9.6109,
4.9682,8.9087,
5.2202,9.5151,
4.4043,9.2727,
4.2862,9.4077,
5.3311,9.4228,
4.1381,8.9895,
5.7167,9.8549,
5.4413,8.8468,
5.6462,9.8649,
4.6114,9.3873,
5.1455,9.3822,
4.1138,9.3439,
4.7322,8.5715,
4.7017,8.7002,
5.683,9.984,
5.4891,9.8509,
5.0845,9.7666,
4.75,9.669,
